seed,size,p,map_type,sg_id,algo,success,edges,suboptimality,runtime_ms,expanded,generated,peak_frontier,peak_closed,peak_rss_mb,free,start_y,start_x,end_y,end_x,is_corner
313100,31x31,0.0,dense,0,A*,1,152,1.0,0.5434,333.0,339.0,8.0,333.0,0.0,449,1,1,29,29,1
313100,31x31,0.0,dense,0,Dijkstra,1,152,1.0,0.4724,359.0,361.0,7.0,359.0,0.0,449,1,1,29,29,1
313100,31x31,0.0,dense,0,DFS,1,152,1.0,0.3107,241.0,276.0,37.0,241.0,0.0,449,1,1,29,29,1
313100,31x31,0.0,dense,0,JPS,0,0,,0.8661,73.0,,,73.0,0.0,449,1,1,29,29,1
313100,31x31,0.0,dense,1,A*,1,35,1.0,0.1353,80.0,83.0,10.0,80.0,0.0,449,15,8,3,27,0
313100,31x31,0.0,dense,1,Dijkstra,1,35,1.0,0.2287,158.0,161.0,8.0,158.0,0.0,449,15,8,3,27,0
313100,31x31,0.0,dense,1,DFS,1,35,1.0,0.0769,60.0,71.0,13.0,60.0,0.0,449,15,8,3,27,0
313100,31x31,0.0,dense,1,JPS,0,0,,0.2746,21.0,,,21.0,0.0,449,15,8,3,27,0
313100,31x31,0.0,dense,2,A*,1,12,1.0,0.0639,29.0,32.0,6.0,29.0,0.0,449,23,25,27,29,0
313100,31x31,0.0,dense,2,Dijkstra,1,12,1.0,0.0991,50.0,54.0,6.0,50.0,0.0,449,23,25,27,29,0
313100,31x31,0.0,dense,2,DFS,1,12,1.0,0.4221,357.0,358.0,29.0,357.0,0.0,449,23,25,27,29,0
313100,31x31,0.0,dense,2,JPS,0,0,,0.1116,10.0,,,10.0,0.0,449,23,25,27,29,0
313101,31x31,0.0,dense,0,A*,1,56,1.0,0.1717,103.0,117.0,15.0,103.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,0,Dijkstra,1,56,1.0,0.2169,147.0,151.0,5.0,147.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,0,DFS,1,56,1.0,0.1124,89.0,109.0,21.0,89.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,0,JPS,0,0,,0.3421,24.0,,,24.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,1,A*,1,11,1.0,0.0398,16.0,20.0,5.0,16.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,Dijkstra,1,11,1.0,0.0762,36.0,41.0,6.0,36.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,DFS,1,11,1.0,0.4136,382.0,384.0,29.0,382.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,JPS,0,0,,0.103,8.0,,,8.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,2,A*,1,13,1.0,0.0551,25.0,29.0,6.0,25.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,Dijkstra,1,13,1.0,0.0936,55.0,58.0,6.0,55.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,DFS,1,13,1.0,0.0277,14.0,17.0,4.0,14.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,JPS,0,0,,0.1025,9.0,,,9.0,0.0,449,7,13,6,21,0
313102,31x31,0.0,dense,0,A*,1,152,1.0,0.5988,411.0,415.0,15.0,411.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,Dijkstra,1,152,1.0,0.5931,447.0,447.0,8.0,447.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,DFS,1,152,1.0,0.3837,279.0,329.0,53.0,279.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,JPS,0,0,,0.9884,83.0,,,83.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,1,A*,1,107,1.0,0.6014,391.0,393.0,14.0,391.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,Dijkstra,1,107,1.0,0.5205,398.0,402.0,10.0,398.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,DFS,1,107,1.0,0.2685,235.0,273.0,40.0,235.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,JPS,0,0,,0.7619,84.0,,,84.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,2,A*,1,56,1.0,0.323,211.0,227.0,17.0,211.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,Dijkstra,1,56,1.0,0.4425,332.0,334.0,12.0,332.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,DFS,1,56,1.0,0.1372,114.0,135.0,24.0,114.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,JPS,0,0,,0.5851,46.0,,,46.0,0.0,449,28,23,2,17,0
313150,31x31,0.05,sparse0.05,0,A*,1,92,1.0,0.6096,375.0,389.0,17.0,375.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,Dijkstra,1,92,1.0,0.6051,451.0,453.0,11.0,451.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,DFS,1,116,1.2608695652173914,0.231,168.0,209.0,42.0,168.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,JPS,0,0,,1.2788,65.0,,,65.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,1,A*,1,118,1.0,0.6836,446.0,450.0,12.0,446.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,Dijkstra,1,118,1.0,0.6235,456.0,457.0,11.0,456.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,DFS,1,150,1.271186440677966,0.3286,219.0,262.0,44.0,219.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,JPS,0,0,,1.2959,62.0,,,62.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,2,A*,1,40,1.0,0.1429,74.0,89.0,16.0,74.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,Dijkstra,1,40,1.0,0.3944,278.0,282.0,15.0,278.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,DFS,1,40,1.0,0.0733,58.0,63.0,7.0,58.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,JPS,0,0,,0.2633,28.0,,,28.0,0.0,463,11,19,29,1,0
313151,31x31,0.05,sparse0.05,0,A*,1,88,1.0,0.4813,308.0,321.0,19.0,308.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,Dijkstra,1,88,1.0,0.5856,444.0,450.0,12.0,444.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,DFS,1,92,1.0454545454545454,0.3193,251.0,280.0,40.0,251.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,JPS,0,0,,0.7113,75.0,,,75.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,1,A*,1,49,1.0,0.3529,194.0,210.0,17.0,194.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,Dijkstra,1,49,1.0,0.5829,437.0,443.0,16.0,437.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,DFS,1,49,1.0,0.2064,183.0,201.0,29.0,183.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,JPS,0,0,,0.7818,70.0,,,70.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,2,A*,1,25,1.0,0.1491,83.0,103.0,21.0,83.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,Dijkstra,1,25,1.0,0.2757,193.0,209.0,19.0,193.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,DFS,1,29,1.16,0.0684,52.0,64.0,13.0,52.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,JPS,0,0,,0.2285,24.0,,,24.0,0.0,468,23,17,11,14,0
313152,31x31,0.05,sparse0.05,0,A*,1,68,1.0,0.2289,142.0,152.0,11.0,142.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,Dijkstra,1,68,1.0,0.3206,239.0,246.0,10.0,239.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,DFS,1,76,1.1176470588235294,0.2732,224.0,248.0,33.0,224.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,JPS,0,0,,0.3944,32.0,,,32.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,1,A*,1,46,1.0,0.2402,139.0,157.0,19.0,139.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,1,Dijkstra,1,46,1.0,0.3492,252.0,257.0,10.0,252.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,1,DFS,1,60,1.3043478260869565,0.4099,360.0,372.0,31.0,360.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,1,JPS,0,0,,0.5025,59.0,,,59.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,2,A*,1,70,1.0,0.5096,330.0,334.0,12.0,330.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,Dijkstra,1,70,1.0,0.6423,458.0,459.0,13.0,458.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,DFS,1,70,1.0,0.133,110.0,128.0,20.0,110.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,JPS,0,0,,0.6709,87.0,,,87.0,0.0,460,20,13,25,10,0
313200,31x31,0.1,sparse0.10,0,A*,1,76,1.0,0.4502,248.0,268.0,21.0,248.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,Dijkstra,1,76,1.0,0.6124,459.0,465.0,17.0,459.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,DFS,1,124,1.631578947368421,0.2016,149.0,193.0,45.0,149.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,JPS,0,0,,0.6054,79.0,,,79.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,1,A*,1,54,1.0,0.2651,168.0,177.0,14.0,168.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,Dijkstra,1,54,1.0,0.4852,356.0,367.0,17.0,356.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,DFS,1,202,3.740740740740741,0.4063,305.0,366.0,65.0,305.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,JPS,0,0,,1.1327,179.0,,,179.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,2,A*,1,49,1.0,0.2504,151.0,170.0,20.0,151.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,Dijkstra,1,49,1.0,0.4735,336.0,356.0,22.0,336.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,DFS,1,67,1.3673469387755102,0.124,94.0,111.0,18.0,94.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,JPS,0,0,,0.6861,100.0,,,100.0,0.0,484,29,18,21,17,0
313201,31x31,0.1,sparse0.10,0,A*,1,68,1.0,0.3006,186.0,198.0,14.0,186.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,Dijkstra,1,68,1.0,0.4537,323.0,329.0,15.0,323.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,DFS,1,112,1.6470588235294117,0.3247,264.0,305.0,55.0,264.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,JPS,0,0,,0.6425,12.0,,,12.0,0.0,491,1,1,29,29,1
