seed,size,p,map_type,sg_id,algo,success,edges,suboptimality,runtime_ms,expanded,generated,peak_frontier,peak_closed,peak_rss_mb,free,start_y,start_x,end_y,end_x,is_corner
313100,31x31,0.0,dense,0,A*,1,152,1.0,0.8389,333.0,339.0,8.0,333.0,0.0,449,1,1,29,29,1
313100,31x31,0.0,dense,0,Dijkstra,1,152,1.0,0.8198,359.0,361.0,7.0,359.0,0.0,449,1,1,29,29,1
313100,31x31,0.0,dense,0,DFS,1,152,1.0,0.4725,241.0,276.0,37.0,241.0,0.0,449,1,1,29,29,1
313100,31x31,0.0,dense,0,JPS,1,152,1.0,1.3615,73.0,73.0,73.0,73.0,0.0,449,1,1,29,29,1
313100,31x31,0.0,dense,1,A*,1,35,1.0,0.222,80.0,83.0,10.0,80.0,0.0,449,15,8,3,27,0
313100,31x31,0.0,dense,1,Dijkstra,1,35,1.0,0.3516,158.0,161.0,8.0,158.0,0.0,449,15,8,3,27,0
313100,31x31,0.0,dense,1,DFS,1,35,1.0,0.119,60.0,71.0,13.0,60.0,0.0,449,15,8,3,27,0
313100,31x31,0.0,dense,1,JPS,1,35,1.0,0.3738,21.0,21.0,21.0,21.0,0.0,449,15,8,3,27,0
313100,31x31,0.0,dense,2,A*,1,12,1.0,0.0829,29.0,32.0,6.0,29.0,0.0,449,23,25,27,29,0
313100,31x31,0.0,dense,2,Dijkstra,1,12,1.0,0.1251,50.0,54.0,6.0,50.0,0.0,449,23,25,27,29,0
313100,31x31,0.0,dense,2,DFS,1,12,1.0,0.6018,357.0,358.0,29.0,357.0,0.0,449,23,25,27,29,0
313100,31x31,0.0,dense,2,JPS,1,12,1.0,0.1566,10.0,10.0,10.0,10.0,0.0,449,23,25,27,29,0
313101,31x31,0.0,dense,0,A*,1,56,1.0,0.2696,103.0,117.0,15.0,103.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,0,Dijkstra,1,56,1.0,0.3197,147.0,151.0,5.0,147.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,0,DFS,1,56,1.0,0.1746,89.0,109.0,21.0,89.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,0,JPS,1,56,1.0,0.5493,24.0,24.0,24.0,24.0,0.0,449,1,1,29,29,1
313101,31x31,0.0,dense,1,A*,1,11,1.0,0.0636,16.0,20.0,5.0,16.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,Dijkstra,1,11,1.0,0.1146,36.0,41.0,6.0,36.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,DFS,1,11,1.0,0.6994,382.0,384.0,29.0,382.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,1,JPS,1,11,1.0,0.1298,8.0,8.0,8.0,8.0,0.0,449,5,27,1,20,0
313101,31x31,0.0,dense,2,A*,1,13,1.0,0.0913,25.0,29.0,6.0,25.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,Dijkstra,1,13,1.0,0.1382,55.0,58.0,6.0,55.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,DFS,1,13,1.0,0.0391,14.0,17.0,4.0,14.0,0.0,449,7,13,6,21,0
313101,31x31,0.0,dense,2,JPS,1,13,1.0,0.1478,9.0,9.0,9.0,9.0,0.0,449,7,13,6,21,0
313102,31x31,0.0,dense,0,A*,1,152,1.0,1.0162,411.0,415.0,15.0,411.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,Dijkstra,1,152,1.0,0.9489,447.0,447.0,8.0,447.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,DFS,1,152,1.0,0.5906,279.0,329.0,53.0,279.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,0,JPS,1,152,1.0,1.6407,83.0,83.0,83.0,83.0,0.0,449,1,1,29,29,1
313102,31x31,0.0,dense,1,A*,1,107,1.0,0.9047,391.0,393.0,14.0,391.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,Dijkstra,1,107,1.0,0.7925,398.0,402.0,10.0,398.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,DFS,1,107,1.0,0.4673,235.0,273.0,40.0,235.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,1,JPS,1,107,1.0,1.4404,84.0,84.0,84.0,84.0,0.0,449,10,23,23,3,0
313102,31x31,0.0,dense,2,A*,1,56,1.0,0.5288,211.0,227.0,17.0,211.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,Dijkstra,1,56,1.0,0.6499,332.0,334.0,12.0,332.0,0.0,449,28,23,2,17,0
313102,31x31,0.0,dense,2,DFS,1,56,1.0,0.2152,114.0,135.0,24.0,114.0,0.004096,449,28,23,2,17,0
313102,31x31,0.0,dense,2,JPS,1,56,1.0,0.9027,46.0,46.0,46.0,46.0,0.0,449,28,23,2,17,0
313150,31x31,0.05,sparse0.05,0,A*,1,92,1.0,0.9318,375.0,389.0,17.0,375.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,Dijkstra,1,92,1.0,0.9142,451.0,453.0,11.0,451.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,DFS,1,116,1.2608695652173914,0.3705,168.0,209.0,42.0,168.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,0,JPS,1,92,1.0,1.4163,65.0,65.0,65.0,65.0,0.0,463,1,1,29,29,1
313150,31x31,0.05,sparse0.05,1,A*,1,118,1.0,1.0916,446.0,450.0,12.0,446.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,Dijkstra,1,118,1.0,0.9636,456.0,457.0,11.0,456.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,DFS,1,150,1.271186440677966,0.4433,219.0,262.0,44.0,219.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,1,JPS,1,118,1.0,1.3167,62.0,62.0,62.0,62.0,0.0,463,20,9,25,28,0
313150,31x31,0.05,sparse0.05,2,A*,1,40,1.0,0.2024,74.0,89.0,16.0,74.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,Dijkstra,1,40,1.0,0.5615,278.0,282.0,15.0,278.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,DFS,1,40,1.0,0.1296,58.0,63.0,7.0,58.0,0.0,463,11,19,29,1,0
313150,31x31,0.05,sparse0.05,2,JPS,1,40,1.0,0.3829,28.0,28.0,28.0,28.0,0.0,463,11,19,29,1,0
313151,31x31,0.05,sparse0.05,0,A*,1,88,1.0,0.9812,308.0,321.0,19.0,308.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,Dijkstra,1,88,1.0,0.9197,444.0,450.0,12.0,444.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,DFS,1,92,1.0454545454545454,0.4775,251.0,280.0,40.0,251.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,0,JPS,1,88,1.0,1.277,75.0,75.0,75.0,75.0,0.0,468,1,1,29,29,1
313151,31x31,0.05,sparse0.05,1,A*,1,49,1.0,0.4757,194.0,210.0,17.0,194.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,Dijkstra,1,49,1.0,0.8954,437.0,443.0,16.0,437.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,DFS,1,49,1.0,0.3279,183.0,201.0,29.0,183.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,1,JPS,1,49,1.0,0.9667,70.0,70.0,70.0,70.0,0.0,468,25,11,28,29,0
313151,31x31,0.05,sparse0.05,2,A*,1,25,1.0,0.2198,83.0,103.0,21.0,83.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,Dijkstra,1,25,1.0,0.4,193.0,209.0,19.0,193.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,DFS,1,29,1.16,0.1118,52.0,64.0,13.0,52.0,0.0,468,23,17,11,14,0
313151,31x31,0.05,sparse0.05,2,JPS,1,25,1.0,0.4084,24.0,24.0,24.0,24.0,0.0,468,23,17,11,14,0
313152,31x31,0.05,sparse0.05,0,A*,1,68,1.0,0.3611,142.0,152.0,11.0,142.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,Dijkstra,1,68,1.0,0.5264,239.0,246.0,10.0,239.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,DFS,1,76,1.1176470588235294,0.4443,224.0,248.0,33.0,224.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,0,JPS,1,68,1.0,0.5635,32.0,32.0,32.0,32.0,0.0,460,1,1,29,29,1
313152,31x31,0.05,sparse0.05,1,A*,1,46,1.0,0.3736,139.0,157.0,19.0,139.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,1,Dijkstra,1,46,1.0,0.4981,252.0,257.0,10.0,252.0,0.0,460,26,5,8,25,0
